"File","Category","Count"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\orders.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\patient_appointmenthistory.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\payment.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\payment.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-primary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\pharmacy.php","btn-utility","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\update_medicine.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\update_medicine.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\UpdateContect.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\UpdateContect.php","btn-secondary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_appointment.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-danger-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-navigation","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Dahboard.php","btn-secondary-action","3"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Profile.php","btn-danger-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Profile.php","btn-navigation","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Profile.php","btn-secondary-action","2"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\User_Registration.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\UserLogin.php","btn-primary-action","1"
"C:\xampp\htdocs\SHIVA-FINAL\SHIVA-FINAL-CSS\HMS\ViewAppointments.php","btn-navigation","1"
